Peak from 2457 to 2462, duration: 5, core average: 301260
Peak from 1287 to 1292, duration: 5, core average: 297526
Peak from 3063 to 3067, duration: 4, core average: 292238
Peak from 834 to 837, duration: 3, core average: 289942
Peak from 822 to 825, duration: 3, core average: 289812
Peak from 2458 to 2462, duration: 4, core average: 287312
Peak from 1288 to 1292, duration: 4, core average: 280983
Peak from 1417 to 1420, duration: 3, core average: 279229
Peak from 1306 to 1309, duration: 3, core average: 273399
Peak from 801 to 806, duration: 5, core average: 270718
Peak from 1013 to 1015, duration: 2, core average: 270663
Peak from 802 to 806, duration: 4, core average: 269490
Peak from 800 to 806, duration: 6, core average: 267810
Peak from 1220 to 1229, duration: 9, core average: 267748
Peak from 1221 to 1229, duration: 8, core average: 267526
Peak from 1005 to 1007, duration: 2, core average: 266892
Peak from 1219 to 1229, duration: 10, core average: 266244
Peak from 1222 to 1229, duration: 7, core average: 265128
Peak from 3553 to 3557, duration: 4, core average: 264135
Peak from 1218 to 1229, duration: 11, core average: 263021
Peak from 799 to 806, duration: 7, core average: 262568
Peak from 3064 to 3067, duration: 3, core average: 261007
Peak from 1223 to 1229, duration: 6, core average: 260872
Peak from 1217 to 1229, duration: 12, core average: 259315
Peak from 2459 to 2462, duration: 3, core average: 257879
Peak from 798 to 806, duration: 8, core average: 256006
Peak from 1216 to 1229, duration: 13, core average: 255470
Peak from 1224 to 1229, duration: 5, core average: 254485
Peak from 1069 to 1072, duration: 3, core average: 254022
Peak from 803 to 806, duration: 3, core average: 253686
Peak from 1031 to 1033, duration: 2, core average: 252898
Peak from 1289 to 1292, duration: 3, core average: 251769
Peak from 1039 to 1041, duration: 2, core average: 251507
Peak from 2999 to 3010, duration: 11, core average: 251359
Peak from 3000 to 3010, duration: 10, core average: 251317
Peak from 2998 to 3010, duration: 12, core average: 250941
Peak from 3001 to 3010, duration: 9, core average: 250594
Peak from 2997 to 3010, duration: 13, core average: 250148
Peak from 3002 to 3010, duration: 8, core average: 249037
Peak from 2996 to 3010, duration: 14, core average: 248937
Peak from 797 to 806, duration: 9, core average: 248394
Peak from 3554 to 3557, duration: 3, core average: 247994
Peak from 2995 to 3010, duration: 15, core average: 247400
Peak from 3003 to 3010, duration: 7, core average: 246196
Peak from 2994 to 3010, duration: 16, core average: 245769
Peak from 1823 to 1832, duration: 9, core average: 244822
Peak from 1225 to 1229, duration: 4, core average: 244797
Peak from 1822 to 1832, duration: 10, core average: 244549
Peak from 1824 to 1832, duration: 8, core average: 244441
Peak from 2993 to 3010, duration: 17, core average: 243963
Peak from 1821 to 1832, duration: 11, core average: 243718
Peak from 1825 to 1832, duration: 7, core average: 242834
Peak from 1820 to 1832, duration: 12, core average: 242788
Peak from 2992 to 3010, duration: 18, core average: 242022
Peak from 1819 to 1832, duration: 13, core average: 241647
Peak from 3004 to 3010, duration: 6, core average: 241443
Peak from 1818 to 1832, duration: 14, core average: 240241
Peak from 1826 to 1832, duration: 6, core average: 239741
Peak from 1817 to 1832, duration: 15, core average: 238673
Peak from 1816 to 1832, duration: 16, core average: 237096
Peak from 1815 to 1832, duration: 17, core average: 235532
