j_1000026,0,1
j_1000072,2,3
j_1000180,1,1
j_1000261,5,22
j_1000304,1,1
j_1000550,7,75
j_1000640,3,209
j_100067,3,3
j_100073,1,2
j_1000742,7,34
j_1000776,5,7
j_1000918,1,482
j_1001084,1,1
j_1001165,1,46
j_1001182,1,2
j_1001244,8,119
j_1001331,1,1
j_1001364,5,75
j_1001433,12,25
j_1001492,1,1
j_100162,5,5
j_1001702,1,1
j_1001781,5,1006
j_1001833,1,4
j_1001861,0,1
j_1001876,1,1
j_1001886,7,55
j_100191,1,1
j_100196,17,87
j_1002275,2,2
j_1002279,3,99
j_1002333,15,87
j_1002419,5,5
j_1002555,1,4
j_10028,1,1
j_1002862,1,1
j_1002875,2,2
j_100288,1,1
j_1003,10,67
j_1003041,1,2
j_1003130,1,3
j_100314,1,1
j_1003214,1,10
j_1003319,1,1
j_1003447,2,14
j_1003534,1,2
j_1003654,1,1
j_100393,1,2
j_1004094,1,2
j_100425,1,4
j_1004353,3,3
j_1004428,1,2
j_100448,13,122
j_1004500,9,11
j_1004555,1,3
j_100466,0,2
j_1004690,1,1
j_1004781,1,20
j_1004881,1,2
j_1004982,3,3
j_1005258,6,128
j_100530,0,2
j_1005403,2,2
j_1005521,1,3
j_1005594,2,2
j_1005795,0,1
j_1005808,1,151
j_1005955,7,230
j_1006153,2,9
j_1006257,2,2
j_1006351,1,1
j_100649,2,2
j_100667,1,8
j_1006698,1,41
j_1006738,4,331
j_1006791,2,5
j_1006929,3,10
j_1007279,47,4542
j_1007344,3,3
j_1007361,3,3
j_10074,1,1
j_1007458,2,2
j_1007466,0,1
j_1007634,3,3
j_1007645,1,15
j_1007694,1,1
j_1007779,3,3
j_1008182,1,4
j_1008218,12,25
j_1008283,1,22
j_1008533,4,11
j_1008666,1,1
j_1008721,1,1
j_1008775,21,23531
j_1008927,2,15
j_1008977,11,45
j_1009183,3,7
j_1009307,5,7
j_1009339,9,22
j_1009363,1,1
j_1009365,1,109
j_1009396,3,3
j_1009397,3,3
j_1009550,2,96
j_100964,3,3113
j_1009790,1,1
j_1009855,2,2
j_1009868,13,376
j_1009894,0,1
j_1009925,1,1
j_1010053,1,2
j_1010092,5,255
j_1010144,1,4
j_1010405,1,1
j_1010661,1,1
j_101094,5,187
j_1010961,1,20
j_1011175,1,3
j_1011353,1,4
j_1011397,8,1045
j_1011531,3,1178
j_101158,3,338
j_1011592,7,71
j_1011632,1,2
j_1011751,1,2
j_101182,1,1
j_1011857,8,312
j_1011900,1,1
j_101193,3,3
j_1011966,12,35
j_101218,1,1
j_1012286,1,1999
j_101249,3,4017
j_1012634,1,1
j_1012725,7,11
j_1012849,3,4
j_1012943,1,2
j_1012978,1,3
j_101314,7,55
j_1013151,3,3
j_1013191,7,537
j_1013244,1,1
j_1013342,2,2
j_1013355,1,1
j_1013408,1,2
j_1013493,1,3
j_1013558,1,1
j_1013611,0,6
j_1013631,1,19
j_1013663,1,3
j_1014096,4,94
