Peak from 115235 to 115238, duration: 3, core average: 6484186
Peak from 116568 to 116572, duration: 4, core average: 6479742
Peak from 120386 to 120394, duration: 8, core average: 6472446
Peak from 117952 to 117962, duration: 10, core average: 6468497
Peak from 120228 to 120235, duration: 7, core average: 6465281
Peak from 116870 to 116878, duration: 8, core average: 6463223
Peak from 113111 to 113119, duration: 8, core average: 6462887
Peak from 120227 to 120235, duration: 8, core average: 6460127
Peak from 115812 to 115818, duration: 6, core average: 6457233
Peak from 116730 to 116737, duration: 7, core average: 6451263
Peak from 115566 to 115570, duration: 4, core average: 6446861
Peak from 112901 to 112909, duration: 8, core average: 6443235
Peak from 116690 to 116697, duration: 7, core average: 6441404
Peak from 115824 to 115830, duration: 6, core average: 6437065
Peak from 120226 to 120235, duration: 9, core average: 6434998
Peak from 116590 to 116595, duration: 5, core average: 6434239
Peak from 117953 to 117962, duration: 9, core average: 6431214
Peak from 115650 to 115655, duration: 5, core average: 6410970
Peak from 120225 to 120235, duration: 10, core average: 6410725
Peak from 116109 to 116118, duration: 9, core average: 6403244
Peak from 120387 to 120394, duration: 7, core average: 6397792
Peak from 115226 to 115229, duration: 3, core average: 6390315
Peak from 116871 to 116878, duration: 7, core average: 6387259
Peak from 120450 to 120456, duration: 6, core average: 6386542
Peak from 120224 to 120235, duration: 11, core average: 6381323
Peak from 120229 to 120235, duration: 6, core average: 6377913
Peak from 117954 to 117962, duration: 8, core average: 6371384
Peak from 113112 to 113119, duration: 7, core average: 6347337
Peak from 120223 to 120235, duration: 12, core average: 6346442
Peak from 113072 to 113078, duration: 6, core average: 6346117
Peak from 117384 to 117389, duration: 5, core average: 6336823
Peak from 112902 to 112909, duration: 7, core average: 6334776
Peak from 116065 to 116073, duration: 8, core average: 6334527
Peak from 116923 to 116929, duration: 6, core average: 6332293
Peak from 116110 to 116118, duration: 8, core average: 6329020
Peak from 116189 to 116195, duration: 6, core average: 6326853
Peak from 116004 to 116009, duration: 5, core average: 6319114
Peak from 116206 to 116210, duration: 4, core average: 6300787
Peak from 117352 to 117361, duration: 9, core average: 6294057
Peak from 116731 to 116737, duration: 6, core average: 6291191
Peak from 116551 to 116554, duration: 3, core average: 6286978
Peak from 117955 to 117962, duration: 7, core average: 6286480
Peak from 117405 to 117410, duration: 5, core average: 6285599
Peak from 116691 to 116697, duration: 6, core average: 6275989
Peak from 116765 to 116770, duration: 5, core average: 6274500
Peak from 115214 to 115217, duration: 3, core average: 6273929
Peak from 116634 to 116639, duration: 5, core average: 6272374
Peak from 116244 to 116249, duration: 5, core average: 6267243
Peak from 120388 to 120394, duration: 6, core average: 6262909
Peak from 117353 to 117361, duration: 8, core average: 6256751
Peak from 122574 to 122578, duration: 4, core average: 6255161
Peak from 120044 to 120050, duration: 6, core average: 6254452
Peak from 115194 to 115197, duration: 3, core average: 6241795
Peak from 116872 to 116878, duration: 6, core average: 6240045
Peak from 116066 to 116073, duration: 7, core average: 6235727
Peak from 116111 to 116118, duration: 7, core average: 6232288
Peak from 120030 to 120039, duration: 9, core average: 6226269
Peak from 120029 to 120039, duration: 10, core average: 6220789
Peak from 115556 to 115560, duration: 4, core average: 6213369
Peak from 115813 to 115818, duration: 5, core average: 6211898
Peak from 116700 to 116705, duration: 5, core average: 6211345
Peak from 120031 to 120039, duration: 8, core average: 6206214
Peak from 120406 to 120410, duration: 4, core average: 6205225
Peak from 120028 to 120039, duration: 11, core average: 6201421
Peak from 117354 to 117361, duration: 7, core average: 6189458
Peak from 115825 to 115830, duration: 5, core average: 6186753
Peak from 113113 to 113119, duration: 6, core average: 6186414
Peak from 122561 to 122571, duration: 10, core average: 6182544
Peak from 112873 to 112883, duration: 10, core average: 6181449
Peak from 122560 to 122571, duration: 11, core average: 6181318
Peak from 112903 to 112909, duration: 6, core average: 6180271
Peak from 122559 to 122571, duration: 12, core average: 6173004
Peak from 120451 to 120456, duration: 5, core average: 6172446
Peak from 120027 to 120039, duration: 12, core average: 6171483
Peak from 117956 to 117962, duration: 6, core average: 6168593
Peak from 122562 to 122571, duration: 9, core average: 6167200
Peak from 122558 to 122571, duration: 13, core average: 6165172
Peak from 120230 to 120235, duration: 5, core average: 6162435
Peak from 122557 to 122571, duration: 14, core average: 6158436
Peak from 120032 to 120039, duration: 7, core average: 6156136
Peak from 115974 to 115980, duration: 6, core average: 6154472
Peak from 122556 to 122571, duration: 15, core average: 6150510
Peak from 120026 to 120039, duration: 13, core average: 6145546
Peak from 117180 to 117189, duration: 9, core average: 6145463
Peak from 113073 to 113078, duration: 5, core average: 6137797
Peak from 117371 to 117375, duration: 4, core average: 6136363
Peak from 122563 to 122571, duration: 8, core average: 6134819
Peak from 116190 to 116195, duration: 5, core average: 6130827
Peak from 116908 to 116917, duration: 9, core average: 6124596
Peak from 119634 to 119646, duration: 12, core average: 6121510
Peak from 119635 to 119646, duration: 11, core average: 6119042
Peak from 112874 to 112883, duration: 9, core average: 6116928
Peak from 116465 to 116477, duration: 12, core average: 6112849
Peak from 119636 to 119646, duration: 10, core average: 6112120
Peak from 116924 to 116929, duration: 5, core average: 6104811
Peak from 119637 to 119646, duration: 9, core average: 6103457
Peak from 116112 to 116118, duration: 6, core average: 6100929
Peak from 117181 to 117189, duration: 8, core average: 6095054
Peak from 119638 to 119646, duration: 8, core average: 6084245
Peak from 116067 to 116073, duration: 6, core average: 6083314
Peak from 116466 to 116477, duration: 11, core average: 6083114
Peak from 117613 to 117619, duration: 6, core average: 6082567
Peak from 122564 to 122571, duration: 7, core average: 6082437
Peak from 116909 to 116917, duration: 8, core average: 6080053
Peak from 115880 to 115887, duration: 7, core average: 6079140
Peak from 117443 to 117452, duration: 9, core average: 6071970
Peak from 116273 to 116279, duration: 6, core average: 6065953
Peak from 121356 to 121365, duration: 9, core average: 6065194
Peak from 116591 to 116595, duration: 4, core average: 6063875
Peak from 117355 to 117361, duration: 6, core average: 6060859
Peak from 115651 to 115655, duration: 4, core average: 6060509
Peak from 117306 to 117311, duration: 5, core average: 6059396
Peak from 116732 to 116737, duration: 5, core average: 6058474
Peak from 116544 to 116547, duration: 3, core average: 6054474
Peak from 121357 to 121365, duration: 8, core average: 6053857
Peak from 120033 to 120039, duration: 6, core average: 6051858
Peak from 120389 to 120394, duration: 5, core average: 6045312
Peak from 121355 to 121365, duration: 10, core average: 6044459
Peak from 116467 to 116477, duration: 10, core average: 6044312
Peak from 119639 to 119646, duration: 7, core average: 6040093
Peak from 116692 to 116697, duration: 5, core average: 6036343
Peak from 112875 to 112883, duration: 8, core average: 6035427
Peak from 115639 to 115645, duration: 6, core average: 6034652
Peak from 120045 to 120050, duration: 5, core average: 6032690
Peak from 121358 to 121365, duration: 7, core average: 6030967
Peak from 121354 to 121365, duration: 11, core average: 6022451
Peak from 117398 to 117403, duration: 5, core average: 6013872
Peak from 117182 to 117189, duration: 7, core average: 6012063
Peak from 116873 to 116878, duration: 5, core average: 6009890
Peak from 113026 to 113032, duration: 6, core average: 6009786
Peak from 116910 to 116917, duration: 7, core average: 6008789
Peak from 121353 to 121365, duration: 12, core average: 6000456
Peak from 122565 to 122571, duration: 6, core average: 5997016
Peak from 117444 to 117452, duration: 8, core average: 5996895
Peak from 116468 to 116477, duration: 9, core average: 5991499
Peak from 115897 to 115902, duration: 5, core average: 5986859
Peak from 115619 to 115624, duration: 5, core average: 5985597
Peak from 117385 to 117389, duration: 4, core average: 5984048
Peak from 116005 to 116009, duration: 4, core average: 5983060
Peak from 121352 to 121365, duration: 13, core average: 5976772
Peak from 118254 to 118260, duration: 6, core average: 5971187
Peak from 117957 to 117962, duration: 5, core average: 5970199
Peak from 115751 to 115754, duration: 3, core average: 5965681
Peak from 121359 to 121365, duration: 6, core average: 5961614
Peak from 113114 to 113119, duration: 5, core average: 5958714
Peak from 122019 to 122027, duration: 8, core average: 5957048
Peak from 112904 to 112909, duration: 5, core average: 5955215
Peak from 121351 to 121365, duration: 14, core average: 5954036
Peak from 115975 to 115980, duration: 5, core average: 5939486
Peak from 117299 to 117304, duration: 5, core average: 5938273
Peak from 115723 to 115728, duration: 5, core average: 5934466
Peak from 115881 to 115887, duration: 6, core average: 5932960
Peak from 115328 to 115330, duration: 2, core average: 5932894
Peak from 121350 to 121365, duration: 15, core average: 5931406
Peak from 116635 to 116639, duration: 4, core average: 5928239
Peak from 117289 to 117296, duration: 7, core average: 5927945
Peak from 112876 to 112883, duration: 7, core average: 5925578
Peak from 116766 to 116770, duration: 4, core average: 5923257
Peak from 116469 to 116477, duration: 8, core average: 5922569
Peak from 116245 to 116249, duration: 4, core average: 5921007
Peak from 119640 to 119646, duration: 6, core average: 5920977
Peak from 117406 to 117410, duration: 4, core average: 5908642
Peak from 116113 to 116118, duration: 5, core average: 5907069
Peak from 117546 to 117551, duration: 5, core average: 5898676
Peak from 115918 to 115922, duration: 4, core average: 5897897
Peak from 116911 to 116917, duration: 6, core average: 5895627
Peak from 117183 to 117189, duration: 6, core average: 5892937
Peak from 117445 to 117452, duration: 7, core average: 5892767
Peak from 115640 to 115645, duration: 5, core average: 5873300
Peak from 116274 to 116279, duration: 5, core average: 5868783
Peak from 120034 to 120039, duration: 5, core average: 5865575
Peak from 116068 to 116073, duration: 5, core average: 5863357
Peak from 122020 to 122027, duration: 7, core average: 5862936
Peak from 117614 to 117619, duration: 5, core average: 5859206
Peak from 117559 to 117564, duration: 5, core average: 5857617
Peak from 122566 to 122571, duration: 5, core average: 5857311
Peak from 116701 to 116705, duration: 4, core average: 5856277
Peak from 116838 to 116845, duration: 7, core average: 5852991
Peak from 117356 to 117361, duration: 5, core average: 5851276
Peak from 116537 to 116540, duration: 3, core average: 5850244
Peak from 115814 to 115818, duration: 4, core average: 5842328
Peak from 120452 to 120456, duration: 4, core average: 5836977
Peak from 115345 to 115347, duration: 2, core average: 5825964
Peak from 116470 to 116477, duration: 7, core average: 5825055
Peak from 117536 to 117545, duration: 9, core average: 5824601
Peak from 116511 to 116517, duration: 6, core average: 5823758
Peak from 116291 to 116296, duration: 5, core average: 5822232
Peak from 116191 to 116195, duration: 4, core average: 5819363
Peak from 116808 to 116814, duration: 6, core average: 5815897
Peak from 117456 to 117461, duration: 5, core average: 5807381
Peak from 120231 to 120235, duration: 4, core average: 5806872
Peak from 115833 to 115837, duration: 4, core average: 5804916
Peak from 115826 to 115830, duration: 4, core average: 5804457
Peak from 116569 to 116572, duration: 3, core average: 5803780
Peak from 115087 to 115095, duration: 8, core average: 5802290
Peak from 117596 to 117601, duration: 5, core average: 5795089
Peak from 112952 to 112957, duration: 5, core average: 5792615
Peak from 113074 to 113078, duration: 4, core average: 5792544
Peak from 118029 to 118040, duration: 11, core average: 5789075
Peak from 117537 to 117545, duration: 8, core average: 5782701
Peak from 115341 to 115343, duration: 2, core average: 5779936
Peak from 113027 to 113032, duration: 5, core average: 5777569
Peak from 117290 to 117296, duration: 6, core average: 5777153
Peak from 121360 to 121365, duration: 5, core average: 5775415
Peak from 112877 to 112883, duration: 6, core average: 5773941
Peak from 115567 to 115570, duration: 3, core average: 5772390
Peak from 118255 to 118260, duration: 5, core average: 5764210
Peak from 115323 to 115325, duration: 2, core average: 5760980
Peak from 118030 to 118040, duration: 10, core average: 5754774
Peak from 121366 to 121370, duration: 4, core average: 5754745
Peak from 117446 to 117452, duration: 6, core average: 5751083
Peak from 115660 to 115663, duration: 3, core average: 5748048
Peak from 115846 to 115850, duration: 4, core average: 5744753
Peak from 115088 to 115095, duration: 7, core average: 5734805
Peak from 117078 to 117082, duration: 4, core average: 5727757
Peak from 116925 to 116929, duration: 4, core average: 5727619
Peak from 122021 to 122027, duration: 6, core average: 5726369
Peak from 115909 to 115913, duration: 4, core average: 5723279
Peak from 115882 to 115887, duration: 5, core average: 5718149
Peak from 115315 to 115317, duration: 2, core average: 5715757
Peak from 117538 to 117545, duration: 7, core average: 5715543
Peak from 119641 to 119646, duration: 5, core average: 5713900
Peak from 115378 to 115380, duration: 2, core average: 5711949
Peak from 118031 to 118040, duration: 9, core average: 5708505
Peak from 119505 to 119509, duration: 4, core average: 5707602
Peak from 117184 to 117189, duration: 5, core average: 5707583
Peak from 117307 to 117311, duration: 4, core average: 5707411
Peak from 116839 to 116845, duration: 6, core average: 5703169
Peak from 116733 to 116737, duration: 4, core average: 5699810
Peak from 116912 to 116917, duration: 5, core average: 5696547
Peak from 116471 to 116477, duration: 6, core average: 5689827
Peak from 120046 to 120050, duration: 4, core average: 5688536
Peak from 115602 to 115606, duration: 4, core average: 5678339
Peak from 115799 to 115803, duration: 4, core average: 5674163
Peak from 120390 to 120394, duration: 4, core average: 5673162
Peak from 116693 to 116697, duration: 4, core average: 5669922
