j_1001433,12,25
j_1002333,15,87
j_1003,10,67
j_100448,13,122
j_1008218,12,25
j_1008977,11,45
j_1009868,13,376
j_1011966,12,35
j_1014238,14,2992
j_1016488,11,257
j_1017193,10,570
j_1019536,10,37
j_1019884,12,24
j_1020410,12,189
j_1022523,12,1336
j_1024285,12,1227
j_1025553,12,3762
j_102662,11,45
j_1039404,11,105
j_1040175,11,14385
j_1042418,13,29
j_1042582,12,17
j_1046618,13,104
j_1049395,13,376
j_1050468,12,189
j_1054936,10,104
j_1064637,12,24
j_1067358,13,11763
j_1071760,12,24
j_107360,12,6193
j_1076841,14,815
j_1077939,11,14385
j_1079678,13,62
j_1079687,13,108
j_1082769,10,106
j_1085569,10,18
j_1086923,10,20
j_1087856,14,3694
j_1096335,15,274
j_1096481,14,3960
j_1097385,10,3555
j_1100255,11,2295
j_110033,12,1227
j_1101056,13,31
j_1101566,11,14385
j_1103180,12,26
j_1105095,10,114
j_1108656,11,1221
j_1109559,12,38
j_1110969,12,57
j_1113224,12,17
j_1117294,11,14385
j_1121552,15,23
j_1121605,12,15969
j_1122667,14,587
j_112482,13,61
j_1125186,10,53
j_1127948,11,211
j_1133216,13,604
j_1137400,12,26
j_1140398,10,1941
j_1144959,12,24
j_1146893,12,485
j_1147429,10,58
j_1152763,15,943
j_1153672,11,51
j_1154912,13,55
j_1155151,15,29
j_1160494,10,3567
j_1162317,14,36
j_116681,10,12
j_1172552,10,882
j_1176210,15,41
j_1184732,12,96
j_118661,10,1862
j_1187455,12,25
j_1192229,12,25
j_1200710,13,58
j_1200793,11,14385
j_1201317,12,402
j_1203672,13,31
j_1204756,14,2375
j_1205126,12,18
j_1209133,15,942
j_1210005,11,795
j_1222227,10,13
j_1224261,10,403
j_1224656,10,162
j_1225505,12,14
j_1225558,13,15
j_122572,12,17
j_1225729,15,50
j_1226445,12,24
j_1227694,14,46
j_1228929,11,21
j_1231013,13,393
j_1231855,13,55
j_1234148,13,318
j_1235270,14,16813
j_1237368,11,17
j_1240904,15,29
j_1241359,15,1229
j_1242836,11,14385
j_1245213,12,656
j_1245519,10,973
j_1247217,10,14
j_124764,12,674
j_1248679,10,44
j_1249213,12,28
j_1249488,10,1352
j_1260022,12,12
j_1260707,11,14385
j_1262406,10,541
j_1264027,15,943
j_1265242,10,454
j_1265598,11,939
j_126635,13,1151
j_1267558,14,437
j_1269556,11,14385
j_1271793,12,12
j_1273753,11,939
j_1276992,10,192
j_127814,12,17
j_1284891,10,2293
j_1288525,11,145
j_1288684,12,12
j_1289790,10,3776
j_1292733,12,25
j_1293337,13,160
j_1295721,14,23904
