J10_2_9_18,156,1,0
J10_2_9_19,89,1,0
J10_3_5_9,2,1,0
J10_3_8_9,0,1,0
J10_5_6_7_9,1,1,0
J10_5_6_9,32,1,0
J10_6_7_8_9,48,1,0
J10_9_15_19,44,1,0
J11_10_16_20,29,1,0
J11_1_2_3_4_5_6_9_10,8,1,0
J11_1_5_7_10_27,222,1,0
J11_3_6_9_10,3,1,0
J12_11_15_18,37,1,0
J12_11_16,1,1,0
J12_11_18,2,1,0
J12_1_2_11,1,1,0
J12_1_2_3_4_7_8_9_10_11,8,1,0
J12_2_4_5_7_10_11,1,1,0
J12_2_5_11,71,1,0
J13_12_14,38,1,0
J14_2_12_13,46,1,0
J14_8_11_13,24,1,0
J14_9_11_13,3,1,0
J15_1_2_14,31,1,0
J15_3_9_14,15,1,0
J15_5_7_9_10_11_13_14,6,1,0
J16_3_6_9_10_12_14_15,22,1,0
J16_4_12_15,217,1,0
J16_5_12_15,84,1,0
J16_6_9_12_15,2,1,0
J17_13_16,14,1,0
J17_1_3_10_16,69,1,0
J17_9_10_12_16,2,1,0
J18_2_7_17,1,1,0
J18_3_5_17,179,1,0
J18_7_9_11_12_17,21,1,0
J19_18,0,1,0
J19_1_6_11_18,18,1,0
J19_1_6_18,66,1,0
J19_3_5_12_18,73,1,0
J19_8_18,71,1,0
J20_3_5_7_19,67,1,0
J21_11_12_13_20,40,1,0
J21_20,1,1,0
J21_5_11_20,54,1,0
J22_10_11_14_17_18_21,3,1,0
J22_10_21,10,1,0
J22_16_20_21,5,1,0
J22_17_18_21,3,1,0
J22_6_12_21,30,1,0
J23_14_16_22,109,1,0
J23_3_4_5_6_7_8_9_22,88,1,0
J23_5_7_22,104,1,0
J24_7_8_23,31,1,0
J25_11_12_13_15_17_19_21_23_24,43,1,0
J25_23_24_28,213,1,0
J25_7_23_24,25,1,0
J25_7_24,27,1,0
J26_1_25,24,1,0
J26_1_6_25,4073,1,0
J26_21_25,1,1,0
J26_4_7_11_15_19_24_25,115,1,0
J26_8_18_25,44,1,0
J27_20_26,1,1,0
J27_2_9_13_19_20_25_26,222,1,0
J27_3_4_10_13_16_20_24_26,98,1,0
J27_5_26,44,1,0
J27_6_9_16_18_19_22_26,1,1,0
J28_18_27,1,1,0
J28_3_17_27,10,1,0
J29_14_16_17_28,2,1,0
J2_5_22,55,1,0
J2_8_10,3,1,0
J30_5_11_29,1,1,0
J31_17_30,214,1,0
J31_19_30,5,1,0
J32_9_11,40,1,0
J33_10_32,13,1,0
J34_9_33,19,1,0
J35_12_14,40,1,0
J37_23_36,4,1,0
J37_31_32_34_36,2,1,0
J38_13_37,4,1,0
J38_34_37,6,1,0
J39_12_38,8,1,0
J40_28_29_32_35_36_39,3,1,0
J41_23_25_40,36,1,0
J43_39_40_42,1,1,0
J48_46_47,36,1,0
J4_3_6_13,3,1,0
J6_3_5_8,1,1,0
J7_6_11,1,1,0
J8_16_17,6,1,0
J8_1_2_7,4,1,0
J9_17_18,4,1,0
J9_1_2_4_5_8,32,1,0
J9_8_12,2,1,0
J9_8_19,61,1,0
M1_10,3,1,0
