J10_16_24,543,6,0
J10_1_2_3_4_5_6_7_8_9,24273,395,30
J10_1_2_3_4_5_6_7_9,5279,297,17
J10_1_2_3_8_9,25476,189,0
J10_1_2_9,92424,3269,533
J10_1_3_5_8_9,2060,57,21
J10_1_3_5_9,102123,455,37
J10_1_3_6_9_11,8838,6162,2635
J10_1_3_9,2820668,2181,210
J10_1_6_9,925,18,2
J10_1_7_9,4137,27,5
J10_1_9,88023,2054,987
J10_2_3_4_5_6_7_8_9,9330,64,9
J10_2_3_8_9,77831,798,89
J10_2_3_9,19581,1287,13
J10_2_4_6_7_9,19655,143,4
J10_2_4_9,1321,132,11
J10_2_5_6_9,1546,159,10
J10_2_5_8_9,25601,1111,70
J10_2_7_9,642,45,6
J10_2_9,5101936,8737,1628
J10_3_4_5_6_7_8_9,38686,383,3
J10_3_4_9,184754,2183,622
J10_3_6_7_8_9_12_13_16_17,11892,498,48
J10_3_6_9,5911123,53100,16496
J10_3_7_9,1225,17,3
J10_3_9,2345498,3562,391
J10_4_6_8_9,19839,417,117
J10_4_6_9,96448,487,42
J10_4_9,15566,313,11
J10_5_6_7_8_9,1008,189,63
J10_5_7_8_9,1519,13,0
J10_5_9,79207,6689,492
J10_6_7_9,1431,110,55
J10_6_8_9,760,298,2
J10_6_9,67828,2853,960
J10_7_8_9,112165,504,85
J10_7_9,25368,2367,306
J10_8_9,1588659,5486,295
J10_9_11,47068,562,1
J11_10_13,778,15,6
J11_10_58,6812,3001,996
J11_1_10,144092,5783,821
J11_1_2_10,855,21,1
J11_1_2_3_4_5_10,608,17,0
J11_1_2_3_4_5_6_7_8_9_10,25834,447,22
J11_1_2_6_10,19724,3333,392
J11_1_7_9_10,9420,1388,60
J11_2_10,18247,678,323
J11_2_10_14,561,6,0
J11_2_3_4_10,6702,47,0
J11_2_3_8_10,3967,5555,3939
J11_2_4_10,1565,305,99
J11_2_4_5_10,50374,1117,102
J11_2_4_5_6_8_9_10,51204,275,0
J11_2_5_7_9_10,15749,326,17
J11_2_6_10,12464,155,3
J11_2_6_8_10,54828,451,107
J11_2_7_10,1797,126,23
J11_2_9_10,6488,282,116
J11_3_10,30304,7010,1456
J11_3_5_10,4770,531,61
J11_3_5_6_10,175183,1854,626
J11_3_8_10,8595,178,17
J11_3_9_10,105310,789,485
J11_4_10,1826,144,13
J11_4_6_7_8_9_10,909242,2721,155
J11_4_9_10_12,10824,530,68
J11_5_10,129665,1949,425
J11_6_10,2221,138,48
J11_6_7_8_10,18455,499,44
J11_7_10,60305,2351,204
J11_7_8_10,37313,578,29
J11_7_9_10,2640,280,8
J11_8_10,13050,1593,170
J11_8_9_10,761,104,6
J11_9_10,55007,1733,435
J12_10_11,135474,1696,751
J12_10_11_25,5741,235,9
J12_11_15,685,57,0
J12_1_11,72446,2624,317
J12_1_2_3_4_5_6_11,931,56,1
J12_1_2_3_4_5_6_7_8_9_10_11,3022,31,5
J12_1_2_8_11,2470,250,83
J12_1_5_11,1626,24,1
J12_2_11,76837,6144,1545
J12_2_3_11,853,705,37
J12_2_3_4_5_6_7_11,545391,91,2
J12_2_4_6_8_10_11,94281,3113,413
J12_2_6_11,17446,143,0
J12_3_4_11,10921,327,140
J12_4_11,129208,2190,435
J12_4_5_11,7950,390,24
J12_4_5_6_7_8_9_10_11,611,81,0
J12_5_11,16611,1314,166
J12_5_6_7_8_9_10_11,716329,1111,152
J12_6_10_11,14830,1962,512
J12_6_11,18819,428,278
J12_6_8_9_11,1610,264,30
J12_6_9_11,1007,1111,47
J12_7_11,1272,17,5
J12_8_10_11,99486,379,119
J12_8_11,4426,219,82
J12_9_10_11,167754,1797,685
J12_9_11,76973,912,212
J12_9_11_14,725,149,2
J13_10_12,8592,1001,138
J13_11_12,271292,3859,1311
J13_12_18,17589,1152,174
J13_12_21,11818,260,9
J13_1_11_12,650,126,20
J13_1_12,15439,641,163
J13_1_2_3_4_5_7_9_10_11_12,76262,1111,62
J13_1_3_12,2558,312,29
J13_1_3_6_7_8_9_10_11_12,49729,1111,34
J13_1_4_5_6_7_10_11_12,5167,308,77
J13_2_12,3217665,2639,390
J13_2_3_12,185939,2460,615
J13_2_4_10_12,37564,89,0
J13_2_4_6_7_8_9_10_11_12,16992,494,9
J13_2_6_12,1855,165,0
J13_2_7_11_12,697,46,0
J13_2_7_8_10_12,1600,1111,481
J13_2_8_11_12,42388,1380,162
J13_3_4_5_6_7_8_12,53317,339,10
J13_3_5_7_12,9354,2194,55
J13_3_6_8_12,963,56,5
J13_4_12,933,67,17
J13_4_5_6_10_12,74898,591,174
J13_5_12,18801,347,87
J13_6_7_8_12,21024,171,3
J13_6_8_11_12,3024,166,51
J13_6_9_10,1223,33,1
J13_7_12,27032,960,171
J13_7_16_24,561,6,0
J13_7_8_12,147777,774,126
J13_7_9_11_12,1594,27,0
J13_7_9_12,2513,1853,372
J13_8_12,31194,425,46
J13_9_11_12,741,13,0
J13_9_12,683,33,10
J14_10_12_13,3288,195,7
J14_11_12_13,164026,1409,481
J14_11_13,121852,2610,935
J14_12_13,51071,2538,625
J14_13,43490,556,31
J14_13_21,1316,124,16
J14_13_22,143844,4212,699
J14_1_13,58085,749,381
J14_1_2_3_4_13,3474,126,34
J14_1_2_3_4_5_6_7_8_9_10_11_12_13,102190,771,2
J14_1_2_9_13,4421,556,51
J14_1_3_4_13,44125,117,0
J14_1_3_5_7_10_13_15_16_20,2161,45,0
J14_1_6_13,882,61,0
J14_21_22,26012,448,98
J14_2_13,1128682,1851,210
J14_2_3_13,1623,1111,509
J14_2_3_4_13,19585,341,18
J14_2_4_6_7_8_9_10_13,5608,49,1
J14_2_6_13,8251,5555,2550
J14_3_13,2438,16,7
J14_3_4_13,23125,369,123
J14_4_13,17237,1840,343
J14_4_5_6_7_13,69975,43329,22168
J14_4_6_13,1431,49,3
J14_4_7_10_13,23992,747,0
J14_5_11_13,669,54,0
J14_5_13,17342,1422,378
J14_5_7_10_12_13,2023,11,0
J14_6_12_13,1838,17,6
J14_6_13,236355,1018,434
J14_6_9_10,2550,124,33
J14_7_12_13,147763,429,33
J14_7_13,1748,48,16
J14_8_10_13,1667,300,77
J14_9_10_12_13,5489,378,0
J14_9_13,5046,536,72
J15_10_11_12_13_14,23887,327,29
J15_10_14,9131,337,191
J15_11_13_14,11632,761,35
J15_11_14,27506,1432,444
J15_12_13_14,2255,45,3
J15_12_14,7196,59,8
J15_13_14,11738,543,148
J15_14_17_19,4103,45,0
J15_1_12_14,23215,319,26
J15_1_14,769758,2141,908
J15_1_2_3_4_5_6_7_8_9_10_11_12_13_14,3776,116,11
J15_1_3_5_14,7159,88,28
J15_1_4_5_11_12_14,1013,247,1
J15_1_5_9_12_14,14230,1074,196
J15_2_14,2455,90,9
J15_2_3_14,1781,43,4
J15_2_4_14,7152,423,0
J15_2_4_5_14,28632,369,123
J15_2_4_8_14,3859,2222,48
J15_3_12_14,42768,414,69
