j_1455471,6,736
j_3464018,6,8
j_4181417,6,10
j_1338795,7,13
j_1952625,7,5289
j_2678972,7,13
j_1647866,8,1119
j_3229978,8,14
j_676345,8,122
j_954309,8,8
j_2242798,9,2544
j_2686567,9,938
j_2132500,10,125872
j_2921535,10,37
j_3352479,12,47
j_4081912,12,47
j_792134,13,61
j_1155151,15,29
j_2572619,16,18
j_1354579,17,638
j_4049792,17,398
j_2569659,18,1675
j_3691533,18,1665
j_1850959,20,22399
j_1008775,21,23529
j_2380043,21,23514
j_2416850,21,13722
j_3374604,21,23528
j_3852805,21,66
j_2543897,24,5347
j_2749022,24,1757
j_3366707,24,1757
j_3952080,24,5338
j_3733190,25,25
j_653071,25,1029
j_3091951,26,170
j_388233,26,93
j_3094116,27,3
j_1773573,33,389
j_2476709,67,67
j_359051,68,68
j_2778956,178,178
j_1919387,192,192
j_2907100,193,193
