m_1	586
m_10	250
m_100	255
m_1000	140
m_1002	277
m_1004	586
m_1006	212
m_1008	261
m_1011	233
m_1013	418
m_1015	200
m_1017	501
m_1019	561
m_102	205
m_1020	249
m_1022	518
m_1024	250
m_1026	218
m_1028	585
m_1031	164
m_1033	268
m_1035	578
m_1037	499
m_1039	264
m_104	707
m_1042	546
m_1044	263
m_1046	222
m_1048	524
m_1051	127
m_1053	544
m_1055	221
m_1057	262
m_1059	484
m_106	679
m_1060	229
m_1062	164
m_1064	395
m_1066	288
m_1068	317
m_1071	546
m_1073	604
m_1075	132
m_1079	325
m_108	201
m_1080	231
m_1082	305
m_1084	283
m_1088	302
m_1091	294
m_1093	400
m_1095	490
m_1097	296
m_1099	396
m_1101	524
m_1103	480
m_1105	592
m_1107	250
m_1109	251
m_111	382
m_1110	218
m_1112	200
m_1114	653
m_1116	400
m_1118	286
m_1121	324
m_1123	300
m_1125	259
m_1127	551
m_1129	302
m_113	275
m_1130	565
m_1132	148
m_1134	300
m_1136	267
m_1138	200
m_1141	270
m_1143	1017
m_1145	147
m_1147	347
m_1149	200
m_115	310
m_1150	189
m_1152	293
m_1154	264
m_1156	701
m_1158	496
m_1161	271
m_1163	496
m_1165	273
m_1167	538
m_1169	300
m_117	627
m_1170	257
m_1172	220
m_1174	602
m_1176	587
m_1178	534
m_1181	655
m_1183	611
m_1185	476
m_1187	169
m_1189	281
m_119	545
m_1190	269
m_1192	444
m_1194	465
m_1196	286
m_1198	349
m_120	327
m_1200	268
m_1202	495
m_1204	684
m_1206	202
m_1208	268
m_1211	264
m_1213	258
m_1215	239
m_1217	289
m_1219	287
m_122	303
m_1220	255
m_1222	275
m_1224	200
m_1226	282
m_1231	501
m_1233	281
m_1235	238
m_1237	240
m_1239	273
m_124	330
m_1240	501
m_1242	200
m_1244	523
m_1246	297
m_1248	289
m_1251	228
m_1253	138
m_1255	300
m_1257	318
m_1259	286
m_126	270
m_1260	303
m_1262	551
m_1264	340
m_1266	387
m_1268	278
m_1271	434
m_1273	258
m_1275	344
m_1277	415
m_1279	227
m_1280	348
m_1282	244
m_1284	149
m_1286	543
m_1288	200
m_1291	203
m_1293	231
m_1295	254
m_1297	352
m_1301	179
m_1303	621
m_1305	443
m_1307	499
m_1309	185
m_131	170
m_1310	239
m_1312	273
m_1314	400
m_1316	264
m_1318	428
m_1321	429
m_1323	500
m_1325	268
m_1327	484
m_1329	478
m_133	582
m_1330	276
m_1332	250
m_1334	273
m_1336	217
m_1338	356
m_1341	551
m_1343	200
m_1345	300
m_1347	222
m_1349	317
m_135	300
m_1352	145
m_1354	284
m_1356	196
m_1358	173
m_1361	263
m_1363	300
m_1365	603
m_1367	377
m_1369	280
m_137	233
m_1370	219
m_1372	280
m_1374	155
m_1376	306
m_1378	164
m_1381	247
m_1383	236
m_1385	496
m_1387	332
m_1389	772
m_139	849
m_1390	295
m_1394	300
m_1396	670
m_1398	248
m_14	263
m_140	305
m_1400	244
m_1402	499
m_1404	254
m_1408	513
m_1411	250
m_1413	245
m_1415	272
m_1417	609
m_1419	200
m_142	414
m_1420	478
m_1422	271
m_1424	287
m_1426	400
m_1428	270
m_1431	264
m_1433	410
m_1435	200
m_1437	289
m_1439	171
m_144	301
m_1442	611
m_1444	300
m_1446	200
m_1448	558
m_1451	518
m_1453	655
m_1455	150
m_1457	191
m_1459	371
m_146	300
m_1460	311
m_1462	288
m_1464	493
m_1466	255
m_1468	277
m_1471	223
m_1473	237
m_1475	270
m_1479	579
m_148	1120
m_1480	317
m_1482	380
m_1484	297
m_1486	249
m_1488	529
m_1491	286
m_1493	268
m_1497	276
m_1499	200
m_1501	479
m_1503	250
m_1505	269
m_1507	267
m_1509	300
m_1510	274
m_1512	439
m_1514	247
m_1516	531
m_1518	289
m_1521	261
m_1523	469
m_1525	480
m_1527	300
m_1529	282
m_153	304
m_1532	256
m_1534	240
m_1536	247
m_1538	275
m_1541	261
m_1543	618
m_1545	539
m_1547	493
m_155	523
